brain_region_id,brain_region_name,cellinstance_cell_id,celltype_cell_name 
11843,Bed nuclei of the stria terminalis anteromedial area,333,SP-ir neuron
11844,Bed nuclei of the stria terminalis oval nucleus,325,tranversely oriented neuron
11844,Bed nuclei of the stria terminalis oval nucleus,327,CRH-ir neuron
11844,Bed nuclei of the stria terminalis oval nucleus,329,large GAL-ir neuron
11844,Bed nuclei of the stria terminalis oval nucleus,331,Enk-ir neuron
11844,Bed nuclei of the stria terminalis oval nucleus,332,SS-ir neuron
11844,Bed nuclei of the stria terminalis oval nucleus,334,BST-CG neuron
11845,Bed nuclei of the stria terminalis juxtacapsular nucleus,325,tranversely oriented neuron
11845,Bed nuclei of the stria terminalis juxtacapsular nucleus,326,fusiform tranversely oriented neuron
11845,Bed nuclei of the stria terminalis juxtacapsular nucleus,327,CRH-ir neuron
11845,Bed nuclei of the stria terminalis juxtacapsular nucleus,329,large GAL-ir neuron
11849,Bed nuclei of the stria terminalis fusiform nucleus,328,NT-ir neuron
11849,Bed nuclei of the stria terminalis fusiform nucleus,329,large GAL-ir neuron
11849,Bed nuclei of the stria terminalis fusiform nucleus,333,SP-ir neuron
119,Bed nuclei of the stria terminalis posterior division interfascicular nucleus,212,type 6a bipolar cell
119,Bed nuclei of the stria terminalis posterior division interfascicular nucleus,289,class A neuron
119,Bed nuclei of the stria terminalis posterior division interfascicular nucleus,299,BNSTAL-5HT (HYP-DEP) neuron
119,Bed nuclei of the stria terminalis posterior division interfascicular nucleus,301,BNSTAL-5HT(NR) neuron
119,Bed nuclei of the stria terminalis posterior division interfascicular nucleus,302,BNSTALG Type I neuron
119,Bed nuclei of the stria terminalis posterior division interfascicular nucleus,305,GALir magnocellular neurosecretory-type neuron
119,Bed nuclei of the stria terminalis posterior division interfascicular nucleus,306,BST large neuron
119,Bed nuclei of the stria terminalis posterior division interfascicular nucleus,309,BST-PVN neuron
119,Bed nuclei of the stria terminalis posterior division interfascicular nucleus,310,vSub/PVN neuron
119,Bed nuclei of the stria terminalis posterior division interfascicular nucleus,311,GAD67 neuron
120,Bed nuclei of the stria terminalis posterior division transverse nucleus,289,class A neuron
120,Bed nuclei of the stria terminalis posterior division transverse nucleus,301,BNSTAL-5HT(NR) neuron
120,Bed nuclei of the stria terminalis posterior division transverse nucleus,302,BNSTALG Type I neuron
120,Bed nuclei of the stria terminalis posterior division transverse nucleus,303,BNSTALG Type II neuron
120,Bed nuclei of the stria terminalis posterior division transverse nucleus,304,BNSTALG Type III neuron
120,Bed nuclei of the stria terminalis posterior division transverse nucleus,305,GALir magnocellular neurosecretory-type neuron
